slug,nombre,ccaa,reg,precio_actual,alquiler_actual,roi_actual,var_precio_anual,var_alquiler_anual,dias_mercado,ine_code
paterna,Paterna,C. Valenciana,levante,2300,1039,5.4,7.0,10.0,20,
ronda,Ronda,Andalucía,andalucia,1800,820,5.5,6.3,9.0,24,
torremolinos,Torremolinos,Andalucía,andalucia,2400,1050,5.2,7.7,11.0,18,
torrent,Torrent,C. Valenciana,levante,1940,896,5.5,7.0,10.0,20,
valencia,Valencia,C. Valenciana,levante,2700,1200,5.3,12.0,10.3,16,
vic,Vic,Cataluña,norte,2060,944,5.5,5.6,8.0,20,
arganda-del-rey,Arganda del Rey,C. de Madrid,centro,2000,900,5.4,7.7,11.0,20,
benalmadena,Benalmádena,Andalucía,andalucia,2200,980,5.3,8.4,12.0,19,
benissa,Benissa,C. Valenciana,levante,2400,1080,5.4,7.7,11.0,22,
cornell-de-llobregat,Cornellà de Llobregat,Cataluña,norte,2800,1250,5.4,5.6,8.0,21,
lanzarote-arrecife,Lanzarote (Arrecife),Canarias,islas,2270,1007,5.3,7.0,10.0,22,
navalcarnero,Navalcarnero,C. de Madrid,centro,2100,940,5.4,7.7,11.0,20,
puerto-de-la-cruz,Puerto de la Cruz,Canarias,islas,2400,1050,5.2,7.0,10.0,20,
salamanca,Salamanca,Castilla y León,centro,1750,880,6.0,7.5,9.0,25,
santiago-de-compostela,Santiago de Compostela,Galicia,norte,2130,954,5.4,5.6,8.0,24,
alcorcon,Alcorcón,C. de Madrid,centro,2300,1020,5.3,7.0,10.0,21,
cambrils,Cambrils,Cataluña,norte,2400,1050,5.2,7.0,10.0,20,
estepona,Estepona,Andalucía,andalucia,2800,1180,5.1,9.8,14.0,16,
guadalajara,Guadalajara,Castilla-La Mancha,centro,1750,860,5.9,10.0,10.0,23,
illescas,Illescas,C. de Madrid,centro,2200,980,5.3,8.4,12.0,18,
l-hospitalet-de-llobregat,L'Hospitalet de Llobregat,Cataluña,norte,3400,1500,5.3,5.6,8.0,20,
lloret-de-mar,Lloret de Mar,Cataluña,norte,2470,1078,5.2,7.0,10.0,20,
sevilla,Sevilla,Andalucía,andalucia,2450,1080,5.3,9.5,6.8,22,
alicante,Alicante,C. Valenciana,levante,2250,990,5.3,13.0,9.0,19,
arona-tenerife-sur,Arona (Tenerife Sur),Canarias,islas,3200,1380,5.2,7.7,11.0,16,
calpe,Calpe,C. Valenciana,levante,2800,1200,5.1,8.4,12.0,21,
denia,Dénia,C. Valenciana,levante,2600,1120,5.2,7.7,11.0,20,
fuengirola,Fuengirola,Andalucía,andalucia,2600,1100,5.1,8.4,12.0,20,
girona,Girona,Cataluña,centro,2300,1050,5.5,8.0,8.0,22,
irun,Irun,País Vasco,norte,2680,1150,5.1,4.9,7.0,22,
vigo,Vigo,Galicia,norte,1850,890,5.8,8.0,8.0,25,
altea,Altea,C. Valenciana,levante,3200,1350,5.1,8.4,12.0,22,
barakaldo,Barakaldo,País Vasco,norte,2800,1200,5.1,4.9,7.0,22,
mijas,Mijas,Andalucía,andalucia,2800,1180,5.1,9.1,13.0,21,
roses,Roses,Cataluña,norte,2920,1245,5.1,7.0,10.0,20,
salou,Salou,Cataluña,norte,2600,1100,5.1,7.0,10.0,19,
nerja,Nerja,Andalucía,andalucia,3200,1280,4.8,9.8,14.0,18,
castelldefels,Castelldefels,Cataluña,norte,3200,1320,5.0,7.0,10.0,18,
inca,Inca,Islas Baleares,islas,2800,1160,5.0,6.3,9.0,21,
marbella,Marbella,Andalucía,andalucia,4200,1680,4.8,9.1,13.0,14,
getxo,Getxo,País Vasco,norte,3500,1400,4.8,4.9,7.0,22,
malaga,Málaga,Andalucía,andalucia,3180,1340,5.1,11.0,6.4,18,
manacor,Manacor,Islas Baleares,islas,3200,1280,4.8,7.0,10.0,20,
vitoria,Vitoria,País Vasco,norte,2700,1150,5.1,7.0,5.0,27,
bilbao,Bilbao,País Vasco,norte,3150,1270,4.8,7.5,5.4,28,
cadiz,Cádiz,Andalucía,andalucia,2200,1000,5.5,9.0,9.0,23,
madrid,Madrid,C. de Madrid,centro,5960,1750,3.5,12.0,9.4,15,
pamplona,Pamplona,Navarra,norte,2950,1170,4.8,7.5,10.0,24,
santander,Santander,Cantabria,norte,2250,940,5.0,7.0,10.5,26,
sitges,Sitges,Cataluña,norte,4800,1850,4.6,7.0,10.0,18,
a-coruna,A Coruña,Galicia,norte,2100,880,5.0,7.5,8.0,26,
barcelona,Barcelona,Cataluña,norte,4900,1880,4.6,4.2,6.0,18,
palma,Palma,Islas Baleares,islas,4200,1650,4.7,9.0,7.6,22,
mahon-menorca,Mahón (Menorca),Islas Baleares,islas,3800,1500,4.7,7.0,10.0,22,
pontevedra,Pontevedra,Galicia,norte,1700,760,5.4,7.5,7.5,28,
ibiza,Ibiza,Islas Baleares,islas,6800,2200,3.9,6.3,9.0,18,
san-sebastian,San Sebastián,País Vasco,norte,5200,1880,4.3,6.5,6.1,30,
alhaurin-de-la-torre,Alhaurín de la Torre,Andalucía,costa,2100,1015,5.8,11.0,8.0,22,
javea,Jávea,C. Valenciana,costa,3200,1385,5.2,12.0,9.0,17,
roquetas-de-mar,Roquetas de Mar,Andalucía,costa,1600,853,6.4,10.0,8.0,22,
mairena-del-aljarafe,Mairena del Aljarafe,Andalucía,metro,1800,884,5.9,9.0,8.0,21,
boadilla-del-monte,Boadilla del Monte,C. de Madrid,metro,3320,1324,4.8,8.0,7.0,18,
guardamar-del-segura,Guardamar del Segura,C. Valenciana,costa,1900,981,6.2,11.0,9.0,20,
santa-lucia-de-tirajana,Santa Lucía de Tirajana,Canarias,costa,2070,978,5.7,10.0,8.0,22,
cullera,Cullera,C. Valenciana,costa,2160,1042,5.8,10.0,8.0,21,
vila-seca,Vila-seca,Cataluña,costa,2400,1120,5.6,9.0,8.0,21,
vinaros,Vinaròs,C. Valenciana,costa,1700,878,6.2,9.0,8.0,23,
pilar-de-la-horadada,Pilar de la Horadada,C. Valenciana,costa,1800,975,6.5,11.0,9.0,20,
san-fernando-de-henares,San Fernando de Henares,C. de Madrid,metro,2200,1025,5.6,8.0,7.0,19,
paracuellos-de-jarama,Paracuellos de Jarama,C. de Madrid,metro,2600,1190,5.5,9.0,8.0,18,
tomares,Tomares,Andalucía,metro,2200,990,5.4,9.0,7.0,21,
bormujos,Bormujos,Andalucía,metro,2000,965,5.8,9.0,8.0,21,
utrera,Utrera,Andalucía,interior,1300,694,6.4,8.0,7.0,25,
armilla,Armilla,Andalucía,metro,1870,916,5.9,9.0,7.0,22,
la-oliva,La Oliva,Canarias,costa,2400,1155,5.8,11.0,9.0,19,
teguise,Teguise,Canarias,costa,2680,1221,5.5,11.0,9.0,20,
alhaurin-el-grande,Alhaurín el Grande,Andalucía,interior,1700,876,6.2,9.0,8.0,24,
coin,Coín,Andalucía,interior,1550,779,6.0,9.0,7.0,25,
moron-de-la-frontera,Morón de la Frontera,Andalucía,interior,1100,623,6.8,8.0,7.0,27,
mairena-del-alcor,Mairena del Alcor,Andalucía,metro,1600,827,6.2,8.0,7.0,23,
andratx,Andratx,Islas Baleares,costa,5000,1875,4.5,10.0,8.0,15,
pollenca,Pollença,Islas Baleares,costa,4200,1715,4.9,9.0,8.0,16,
alcudia,Alcúdia,Islas Baleares,costa,3800,1615,5.1,10.0,8.0,17,
sueca,Sueca,C. Valenciana,interior,1400,758,6.5,8.0,7.0,24,
benicarlo,Benicarló,C. Valenciana,costa,1700,850,6.0,9.0,8.0,23,
lebrija,Lebrija,Andalucía,interior,1000,583,7.0,8.0,7.0,28,
calafell,Calafell,Cataluña,costa,2200,1045,5.7,9.0,8.0,21,
adeje,Adeje,Canarias,costa,3200,1400,5.2,7.8,6.2,22,
alcantarilla,Alcantarilla,R. de Murcia,metro,1140,598,6.3,9.4,7.6,22,
alcobendas,Alcobendas,C. de Madrid,metro,3200,1450,5.4,8.2,6.6,22,
almendralejo,Almendralejo,Extremadura,interior,900,470,6.3,9.3,7.4,22,
andujar,Andújar,Andalucía,interior,1000,520,6.2,9.3,7.4,22,
basauri,Basauri,País Vasco,metro,2320,1027,5.3,7.9,6.4,22,
calvia,Calvià,Islas Baleares,costa,4800,1880,4.7,7.1,5.6,22,
castrillon,Castrillón,Asturias,costa,1300,640,5.9,8.9,7.1,22,
castro-urdiales,Castro-Urdiales,Cantabria,costa,2400,1060,5.3,7.9,6.4,22,
cerdanyola-del-valles,Cerdanyola del Vallès,Cataluña,metro,2800,1220,5.2,7.8,6.2,22,
chiclana-de-la-frontera,Chiclana de la Frontera,Andalucía,costa,2070,950,5.5,8.2,6.6,22,
cieza,Cieza,R. de Murcia,interior,1000,520,6.2,9.1,7.3,22,
collado-villalba,Collado Villalba,C. de Madrid,metro,2400,1000,5,7.5,6.0,22,
coslada,Coslada,C. de Madrid,metro,2770,1268,5.5,8.2,6.6,22,
durango,Durango,País Vasco,interior,2470,1109,5.4,8.1,6.5,22,
ecija,Écija,Andalucía,interior,850,460,6.5,9.6,7.7,22,
eibar,Eibar,País Vasco,interior,1850,842,5.5,8.1,6.5,22,
el-ejido,El Ejido,Andalucía,costa,1100,570,6.2,9.3,7.4,22,
el-prat-de-llobregat,El Prat de Llobregat,Cataluña,metro,2500,1120,5.4,7.9,6.4,22,
el-puerto-de-santa-maria,El Puerto de Santa María,Andalucía,costa,1800,860,5.7,8.7,7.0,22,
esplugues-de-llobregat,Esplugues de Llobregat,Cataluña,metro,3000,1280,5.1,7.6,6.1,22,
gava,Gavà,Cataluña,costa,3350,1458,5.2,7.8,6.2,22,
granadilla-de-abona,Granadilla de Abona,Canarias,costa,2200,1060,5.8,8.4,6.7,22,
granollers,Granollers,Cataluña,metro,2200,1020,5.6,8.2,6.6,22,
la-linea-de-la-concepcion,La Línea de la Concepción,Andalucía,costa,1200,600,6,9.0,7.2,22,
la-orotava,La Orotava,Canarias,interior,2090,956,5.5,8.2,6.6,22,
la-rinconada,La Rinconada,Andalucía,metro,1300,670,6.2,9.3,7.4,22,
las-rozas,Las Rozas,C. de Madrid,metro,3800,1620,5.1,7.6,6.1,22,
llucmajor,Llucmajor,Islas Baleares,costa,3600,1560,5.2,7.6,6.1,22,
lucena,Lucena,Andalucía,interior,900,480,6.4,9.6,7.7,22,
majadahonda,Majadahonda,C. de Madrid,metro,3830,1648,5.2,7.8,6.2,22,
marratxi,Marratxí,Islas Baleares,metro,3200,1490,5.6,8.4,6.7,22,
molina-de-segura,Molina de Segura,R. de Murcia,metro,1400,680,5.8,8.7,7.0,22,
mollet-del-valles,Mollet del Vallès,Cataluña,metro,2100,980,5.6,8.2,6.6,22,
naron,Narón,Galicia,interior,1160,604,6.2,9.1,7.3,22,
ontinyent,Ontinyent,C. Valenciana,interior,1050,540,6.2,9.3,7.4,22,
pinto,Pinto,C. de Madrid,metro,2200,1010,5.5,8.2,6.6,22,
pozuelo-de-alarcon,Pozuelo de Alarcón,C. de Madrid,metro,4200,1720,4.9,7.4,5.9,22,
puertollano,Puertollano,Castilla-La Mancha,interior,750,400,6.4,9.6,7.7,22,
rivas-vaciamadrid,Rivas-Vaciamadrid,C. de Madrid,metro,2800,1260,5.4,8.1,6.5,22,
rubi,Rubí,Cataluña,metro,2400,1100,5.5,8.2,6.6,22,
san-bartolome-de-tirajana,San Bartolomé de Tirajana,Canarias,costa,2490,1115,5.4,7.9,6.4,22,
san-fernando-cadiz,San Fernando,Andalucía,costa,1540,739,5.8,8.7,7.0,22,
san-javier,San Javier,R. de Murcia,costa,1860,846,5.5,8.1,6.5,22,
san-sebastian-de-los-reyes,San Sebastián de los Reyes,C. de Madrid,metro,2900,1310,5.4,8.1,6.5,22,
sant-boi-de-llobregat,Sant Boi de Llobregat,Cataluña,metro,2700,1200,5.3,7.9,6.4,22,
sant-cugat-del-valles,Sant Cugat del Vallès,Cataluña,metro,4500,1800,4.8,7.2,5.8,22,
sant-feliu-de-llobregat,Sant Feliu de Llobregat,Cataluña,metro,2600,1160,5.4,7.9,6.4,22,
segovia,Segovia,Castilla y León,interior,1550,740,5.7,8.4,6.7,22,
siero,Siero,Asturias,interior,1360,662,5.8,8.7,7.0,22,
torrejon-de-ardoz,Torrejón de Ardoz,C. de Madrid,metro,2600,1210,5.6,8.4,6.7,22,
totana,Totana,R. de Murcia,interior,1070,545,6.1,9.0,7.2,22,
tres-cantos,Tres Cantos,C. de Madrid,metro,3370,1446,5.1,7.8,6.2,22,
ubeda,Úbeda,Andalucía,interior,1200,580,5.8,8.4,6.7,22,
viladecans,Viladecans,Cataluña,metro,2600,1150,5.3,7.9,6.4,22,
vilanova-i-la-geltru,Vilanova i la Geltrú,Cataluña,costa,2470,1150,5.6,8.2,6.6,22,
villena,Villena,C. Valenciana,interior,730,389,6.4,9.4,7.6,22,
xativa,Xàtiva,C. Valenciana,interior,1100,550,6,8.9,7.1,22,
yecla,Yecla,R. de Murcia,interior,950,500,6.3,9.4,7.6,22,
zarautz,Zarautz,País Vasco,costa,4200,1820,5.2,7.8,6.2,22,
torrox,Torrox,Andalucía,costa,2200,1063,5.8,11.0,9.0,22,
almunecar,Almuñécar,Andalucía,costa,2490,1135,5.5,11.0,9.0,22,
mojacar,Mojácar,Andalucía,costa,2800,1307,5.6,12.0,10.0,19,
vera,Vera,Andalucía,costa,1800,930,6.2,10.0,8.0,22,
los-alcazares,Los Alcázares,R. de Murcia,costa,1700,906,6.4,10.0,9.0,22,
san-pedro-del-pinatar,San Pedro del Pinatar,R. de Murcia,costa,1860,955,6.2,10.0,8.0,22,
peniscola,Peñíscola,C. Valenciana,costa,2270,1092,5.8,10.0,8.0,21,
mislata,Mislata,C. Valenciana,metro,2100,998,5.7,9.0,8.0,20,
palamos,Palamós,Cataluña,costa,2600,1213,5.6,9.0,8.0,21,
palafrugell,Palafrugell,Cataluña,costa,2800,1283,5.5,9.0,8.0,21,
premia-de-mar,Premiá de Mar,Cataluña,costa,2740,1269,5.6,9.0,8.0,20,
tortosa,Tortosa,Cataluña,interior,1300,703,6.5,8.0,7.0,25,
castello-d-empuries,Castelló d'Empúries,Cataluña,costa,2400,1160,5.8,10.0,8.0,20,
olot,Olot,Cataluña,interior,1750,872,6.0,8.0,7.0,23,
soller,Sóller,Islas Baleares,costa,4640,1848,4.8,10.0,8.0,16,
ciutadella-de-menorca,Ciutadella de Menorca,Islas Baleares,costa,3710,1601,5.2,9.0,8.0,18,
felanitx,Felanitx,Islas Baleares,costa,2970,1353,5.5,9.0,8.0,19,
yaiza,Yaiza,Canarias,costa,2800,1330,5.7,11.0,9.0,19,
aguimes,Agüimes,Canarias,costa,1900,918,5.8,10.0,8.0,22,
guimar,Güímar,Canarias,interior,1750,818,5.6,9.0,8.0,23,
vilagarcia-de-arousa,Vilagarcía de Arousa,Galicia,costa,1800,870,5.8,8.0,7.0,24,
sanxenxo,Sanxenxo,Galicia,costa,2600,1170,5.4,9.0,8.0,22,
carballo,Carballo,Galicia,interior,1150,599,6.3,7.0,6.0,26,
cangas-do-morrazo,Cangas do Morrazo,Galicia,costa,1800,886,5.9,8.0,7.0,24,
llanes,Llanes,Asturias,costa,2000,933,5.6,8.0,7.0,25,
hondarribia,Hondarribia,País Vasco,costa,3400,1473,5.2,8.0,7.0,20,
laredo,Laredo,Cantabria,costa,1960,943,5.8,8.0,7.0,23,
montilla,Montilla,Andalucía,interior,1000,567,6.8,7.0,6.0,27,
baza,Baza,Andalucía,interior,900,525,7.0,7.0,6.0,28,
isla-cristina,Isla Cristina,Andalucía,costa,1400,746,6.4,8.0,7.0,24,
rincon-de-la-victoria,Rincón de la Victoria,Andalucía,costa,2070,963,5.6,10.0,8.0,22,
guadix,Guadix,Andalucía,interior,900,510,6.8,7.0,6.0,27,
adra,Adra,Andalucía,costa,1300,693,6.4,9.0,7.0,24,
burriana,Burriana,C. Valenciana,costa,1500,750,6.0,8.0,7.0,24,
requena,Requena,C. Valenciana,interior,1100,595,6.5,7.0,6.0,26,
aranjuez,Aranjuez,C. de Madrid,interior,2000,966,5.8,9.0,7.0,21,
san-lorenzo-de-el-escorial,San Lorenzo de El Escorial,C. de Madrid,interior,2800,1213,5.2,9.0,7.0,20,
galapagar,Galapagar,C. de Madrid,metro,2710,1215,5.4,9.0,8.0,19,
torrelodones,Torrelodones,C. de Madrid,metro,3000,1275,5.1,9.0,7.0,19,
arroyomolinos,Arroyomolinos,C. de Madrid,metro,2570,1188,5.5,9.0,8.0,19,
alcazar-de-san-juan,Alcázar de San Juan,Castilla-La Mancha,interior,1070,579,6.5,8.0,6.0,26,
valdepenas,Valdepeñas,Castilla-La Mancha,interior,970,552,6.8,7.0,6.0,27,
tomelloso,Tomelloso,Castilla-La Mancha,interior,1060,576,6.5,8.0,6.0,26,
baeza,Baeza,Andalucía,interior,1100,567,6.2,8.0,6.0,27,
alcala-la-real,Alcalá la Real,Andalucía,interior,1000,542,6.5,7.0,6.0,27,
martos,Martos,Andalucía,interior,870,497,6.9,7.0,6.0,28,
calella,Calella,Cataluña,costa,2340,1102,5.7,9.0,8.0,21,
pineda-de-mar,Pineda de Mar,Cataluña,costa,2060,992,5.8,8.0,7.0,21,
tossa-de-mar,Tossa de Mar,Cataluña,costa,3200,1387,5.2,10.0,8.0,19,
l-escala,L'Escala,Cataluña,costa,2700,1229,5.5,9.0,8.0,20,
calatayud,Calatayud,Aragón,interior,870,511,7.0,7.0,6.0,27,
alcaniz,Alcañiz,Aragón,interior,960,549,6.9,7.0,6.0,27,
zafra,Zafra,Extremadura,interior,960,545,6.8,7.0,6.0,27,
navalmoral-de-la-mata,Navalmoral de la Mata,Extremadura,interior,960,524,6.6,7.0,6.0,27,
la-union,La Unión,R. de Murcia,interior,900,540,7.2,8.0,7.0,27,
jumilla,Jumilla,R. de Murcia,interior,950,542,6.8,7.0,6.0,27,
hellin,Hellín,Castilla-La Mancha,interior,870,493,6.8,7.0,6.0,28,
almansa,Almansa,Castilla-La Mancha,interior,970,528,6.5,7.0,6.0,27,
lliria,Llíria,C. Valenciana,interior,1540,770,6.0,8.0,7.0,24,
algemesi,Algemesí,C. Valenciana,interior,1400,724,6.2,8.0,7.0,24,
sanlucar-de-barrameda,Sanlúcar de Barrameda,Andalucía,costa,1440,743,6.2,9.0,7.0,24,
rota,Rota,Andalucía,costa,1860,898,5.8,9.0,7.0,22,
conil-de-la-frontera,Conil de la Frontera,Andalucía,costa,2200,1023,5.6,10.0,8.0,22,
tarifa,Tarifa,Andalucía,costa,2680,1201,5.4,11.0,9.0,20,
chipiona,Chipiona,Andalucía,costa,1650,821,6.0,9.0,7.0,23,
carmona,Carmona,Andalucía,interior,1360,682,6.0,8.0,7.0,25,
osuna,Osuna,Andalucía,interior,1130,611,6.5,7.0,6.0,27,
priego-de-cordoba,Priego de Córdoba,Andalucía,interior,960,521,6.5,7.0,6.0,27,
ciudad-rodrigo,Ciudad Rodrigo,Castilla y León,interior,940,538,6.9,7.0,6.0,28,
barbastro,Barbastro,Aragón,interior,1200,650,6.5,8.0,6.0,26,
haro,Haro,La Rioja,interior,1300,671,6.2,8.0,7.0,25,
estella-lizarra,Estella-Lizarra,Navarra,interior,1350,677,6.0,8.0,6.0,25,
tolosa,Tolosa,País Vasco,interior,2510,1122,5.4,8.0,7.0,22,
mondragon,Mondragón,País Vasco,interior,2270,1050,5.6,8.0,7.0,22,
bermeo,Bermeo,País Vasco,costa,2710,1236,5.5,8.0,7.0,22,
gernika-lumo,Gernika-Lumo,País Vasco,interior,2520,1128,5.4,8.0,7.0,22,
igualada,Igualada,Cataluña,interior,1800,900,6.0,8.0,7.0,23,
puigcerda,Puigcerdà,Cataluña,interior,3000,1300,5.2,9.0,8.0,20,
banyoles,Banyoles,Cataluña,interior,2280,1056,5.6,8.0,7.0,22,
nules,Nules,C. Valenciana,costa,1450,748,6.2,8.0,7.0,24,
tavernes-de-la-valldigna,Tavernes de la Valldigna,C. Valenciana,costa,1670,829,6.0,8.0,7.0,23,
ribadesella,Ribadesella,Asturias,costa,2070,997,5.8,8.0,7.0,24,
luarca,Luarca,Asturias,costa,1850,893,5.8,8.0,7.0,25,
