slug,nombre,ccaa,poblacion,precio_m2,alquiler_medio,roi,var_precio_anual,var_alquiler_anual,dias_mercado,dias_mercado_flag,fuente_precio,fuente_alquiler,fecha_extraccion,trimestre
aranda-de-duero,Aranda de Duero,Castilla y León,29222,950,510,6.4,4.2,6.0,30,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
badajoz,Badajoz,Extremadura,122510,920,530,6.9,8.0,7.4,29,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
calahorra,Calahorra,La Rioja,18926,1000,540,6.5,4.2,6.0,28,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
ciudad-real,Ciudad Real,Castilla-La Mancha,59392,900,540,7.2,10.5,14.4,28,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
lorca,Lorca,R. de Murcia,69045,860,470,6.6,4.9,7.0,30,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
medina-del-campo,Medina del Campo,Castilla y León,20174,920,494,6.4,3.5,5.0,32,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
plasencia,Plasencia,Extremadura,37299,910,491,6.5,4.2,6.0,30,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
soria,Soria,Castilla y León,33597,840,500,7.1,11.0,15.0,29,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
teruel,Teruel,Aragón,28994,820,490,7.2,9.0,9.0,30,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
elda,Elda,C. Valenciana,52751,1100,580,6.3,5.6,8.0,26,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
merida,Mérida,Extremadura,51830,1050,560,6.4,4.9,7.0,28,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
miranda-de-ebro,Miranda de Ebro,Castilla y León,35502,1000,530,6.4,4.2,6.0,28,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
ourense,Ourense,Galicia,107060,1080,610,6.8,8.0,8.1,29,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
tordesillas,Tordesillas,Castilla y León,7946,970,516,6.4,4.2,6.0,30,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
torre-pacheco,Torre-Pacheco,R. de Murcia,20345,1200,630,6.3,6.3,9.0,25,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
caceres,Cáceres,Extremadura,77768,960,560,7.0,8.5,7.5,28,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
orense,Orense,Galicia,107060,1150,555,5.8,4.9,7.0,26,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
aguilas,Águilas,R. de Murcia,25702,1400,720,6.2,7.0,10.0,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
albacete,Albacete,Castilla-La Mancha,143799,1200,680,6.8,8.5,13.6,26,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
algeciras,Algeciras,Andalucía,101907,1200,620,6.2,5.6,8.0,26,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
aviles,Avilés,Asturias,85696,1160,601,6.2,4.2,6.0,28,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
cartagena,Cartagena,R. de Murcia,170483,1360,701,6.2,7.0,10.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
mazarron,Mazarrón,R. de Murcia,16142,1600,830,6.2,7.7,11.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
motril,Motril,Andalucía,50316,1440,739,6.2,6.3,9.0,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
antequera,Antequera,Andalucía,40181,1100,560,6.1,4.9,7.0,28,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
orihuela,Orihuela,C. Valenciana,50724,1470,675,5.5,6.3,9.0,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
sagunto,Sagunto,C. Valenciana,73031,1440,718,6.0,6.3,9.0,25,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
santa-cruz-de-tenerife,Santa Cruz de Tenerife,Canarias,203787,2000,930,5.6,6.3,9.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
torrevieja,Torrevieja,C. Valenciana,35998,1800,900,6.0,8.4,12.0,20,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
alcoy,Alcoy,C. Valenciana,60921,1440,730,6.1,5.6,8.0,26,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
alzira,Alzira,C. Valenciana,40556,1350,670,6.0,5.6,8.0,26,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
castellon-de-la-plana,Castellón de la Plana,C. Valenciana,180379,1400,690,5.9,6.3,9.0,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
huesca,Huesca,Aragón,45607,1350,740,6.6,8.0,9.0,27,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
palencia,Palencia,Castilla y León,78831,1020,580,6.8,7.5,13.2,28,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
terrassa,Terrassa,Cataluña,163862,1750,875,6.0,5.6,8.0,23,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
toledo,Toledo,Castilla-La Mancha,66006,1600,860,6.4,9.0,12.9,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
torrelavega,Torrelavega,Cantabria,58196,1450,723,6.0,4.9,7.0,26,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
tudela,Tudela,Navarra,26857,1460,727,6.0,4.9,7.0,26,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
velez-malaga,Vélez-Málaga,Andalucía,53071,1600,800,6.0,7.0,10.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
zaragoza,Zaragoza,Aragón,601674,1950,980,6.0,8.0,12.0,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
alcala-de-guadaira,Alcalá de Guadaíra,Andalucía,56313,1400,680,5.8,5.6,8.0,26,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
elche,Elche,C. Valenciana,191660,1600,780,5.8,6.3,9.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
logrono,Logroño,La Rioja,123841,1560,780,6.0,8.0,11.5,23,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
oliva,Oliva,C. Valenciana,20654,1700,830,5.9,7.0,10.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
sabadell,Sabadell,Cataluña,185798,1740,930,6.4,5.6,8.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
telde,Telde,Canarias,84389,1650,801,5.8,6.3,9.0,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
valladolid,Valladolid,Castilla y León,319805,1550,825,6.4,7.0,11.0,25,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
cordoba,Córdoba,Andalucía,306248,1520,740,5.8,8.5,12.0,26,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
figueres,Figueres,Cataluña,33157,1500,720,5.8,5.6,8.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
leon,León,Castilla y León,145242,1400,770,6.6,8.0,10.0,26,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
tarragona,Tarragona,Cataluña,112176,1780,890,6.0,8.0,10.0,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
alcala-de-henares,Alcalá de Henares,C. de Madrid,163386,1950,920,5.7,7.0,10.0,20,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
benidorm,Benidorm,C. Valenciana,50040,2200,1050,5.7,7.7,11.0,18,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
dos-hermanas,Dos Hermanas,Andalucía,91138,1600,760,5.7,6.3,9.0,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
gandia,Gandía,C. Valenciana,56555,1900,890,5.6,7.0,10.0,21,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
getafe,Getafe,C. de Madrid,143153,2400,1100,5.5,7.7,11.0,18,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
gijon,Gijón,Asturias,264381,1680,800,5.7,6.5,10.0,27,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
jerez-de-la-frontera,Jerez de la Frontera,Andalucía,182269,1650,780,5.7,6.3,9.0,25,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
parla,Parla,C. de Madrid,69163,1750,820,5.6,7.0,10.0,23,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
reus,Reus,Cataluña,90993,1660,785,5.7,5.6,8.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
santa-pola,Santa Pola,C. Valenciana,17099,2000,950,5.7,7.0,10.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
burgos,Burgos,Castilla y León,163156,1720,890,6.2,8.0,12.0,25,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
fuenlabrada,Fuenlabrada,C. de Madrid,163567,1900,880,5.6,7.0,10.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
fuerteventura-pjto-rosario,Fuerteventura (Pjto.Rosario),Canarias,19030,2000,920,5.5,7.0,10.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
manresa,Manresa,Cataluña,64385,1800,840,5.6,5.6,8.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
badalona,Badalona,Cataluña,210987,2600,1200,5.5,6.3,9.0,20,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
blanes,Blanes,Cataluña,27713,2200,1000,5.5,6.3,9.0,21,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
burjassot,Burjassot,C. Valenciana,34061,2100,960,5.5,7.0,10.0,21,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
granada,Granada,Andalucía,245640,1980,910,5.5,9.0,12.0,21,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
la-laguna,La Laguna,Canarias,161108,2080,885,5.1,6.3,9.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
leganes,Leganés,C. de Madrid,174593,2270,1026,5.4,7.0,10.0,20,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
mataro,Mataró,Cataluña,102018,2280,1033,5.4,5.6,8.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
mostoles,Móstoles,C. de Madrid,196173,2160,985,5.5,7.0,10.0,21,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
oviedo,Oviedo,Asturias,200049,1850,880,5.7,7.0,8.0,26,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
paterna,Paterna,C. Valenciana,47414,2300,1039,5.4,7.0,10.0,20,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
ronda,Ronda,Andalucía,34385,1800,820,5.5,6.3,9.0,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
torremolinos,Torremolinos,Andalucía,35408,2400,1050,5.2,7.7,11.0,18,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
torrent,Torrent,C. Valenciana,60999,1940,896,5.5,7.0,10.0,20,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
valencia,Valencia,C. Valenciana,746683,2700,1200,5.3,12.0,10.3,16,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
vic,Vic,Cataluña,30397,2060,944,5.5,5.6,8.0,20,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
arganda-del-rey,Arganda del Rey,C. de Madrid,29224,2000,900,5.4,7.7,11.0,20,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
benalmadena,Benalmádena,Andalucía,27147,2200,980,5.3,8.4,12.0,19,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
benissa,Benissa,C. Valenciana,9154,2400,1080,5.4,7.7,11.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
cornell-de-llobregat,Cornellà de Llobregat,Cataluña,82490,2800,1250,5.4,5.6,8.0,21,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
lanzarote-arrecife,Lanzarote (Arrecife),Canarias,38091,2270,1007,5.3,7.0,10.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
navalcarnero,Navalcarnero,C. de Madrid,11601,2100,940,5.4,7.7,11.0,20,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
puerto-de-la-cruz,Puerto de la Cruz,Canarias,24542,2320,1095,5.7,7.0,10.0,20,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
salamanca,Salamanca,Castilla y León,159225,1750,880,6.0,7.5,9.0,25,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
santiago-de-compostela,Santiago de Compostela,Galicia,93672,2130,954,5.4,5.6,8.0,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
alcorcon,Alcorcón,C. de Madrid,141465,2300,1020,5.3,7.0,10.0,21,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
cambrils,Cambrils,Cataluña,17536,2500,1095,5.3,7.0,10.0,20,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
estepona,Estepona,Andalucía,37557,2800,1180,5.1,9.8,14.0,16,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
guadalajara,Guadalajara,Castilla-La Mancha,67108,1810,895,5.9,10.0,10.0,23,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
illescas,Illescas,C. de Madrid,9743,2130,1015,5.7,8.4,12.0,18,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
l-hospitalet-de-llobregat,L'Hospitalet de Llobregat,Cataluña,289510,3400,1500,5.3,5.6,8.0,20,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
lloret-de-mar,Lloret de Mar,Cataluña,16674,2470,1078,5.2,7.0,10.0,20,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
sevilla,Sevilla,Andalucía,697487,2450,1080,5.3,9.5,6.8,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
alicante,Alicante,C. Valenciana,274577,2250,990,5.3,13.0,9.0,19,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
arona-tenerife-sur,Arona (Tenerife Sur),Canarias,28208,3200,1380,5.2,7.7,11.0,16,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
calpe,Calpe,C. Valenciana,27616,2800,1200,5.1,8.4,12.0,21,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
denia,Dénia,C. Valenciana,27469,2600,1120,5.2,7.7,11.0,20,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
fuengirola,Fuengirola,Andalucía,41713,2600,1100,5.1,8.4,12.0,20,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
girona,Girona,Cataluña,70576,2300,1050,5.5,8.0,8.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
irun,Irun,País Vasco,55215,2680,1150,5.1,4.9,7.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
vigo,Vigo,Galicia,286774,1850,890,5.8,8.0,8.0,25,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
altea,Altea,C. Valenciana,13519,3200,1350,5.1,8.4,12.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
barakaldo,Barakaldo,País Vasco,100474,2930,1255,5.1,4.9,7.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
mijas,Mijas,Andalucía,35423,2660,1140,5.1,9.1,13.0,21,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
roses,Roses,Cataluña,11483,2920,1245,5.1,7.0,10.0,20,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
salou,Salou,Cataluña,10708,2440,1065,5.2,7.0,10.0,19,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
nerja,Nerja,Andalucía,14965,3200,1280,4.8,9.8,14.0,18,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
castelldefels,Castelldefels,Cataluña,38509,3200,1320,5.0,7.0,10.0,18,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
inca,Inca,Islas Baleares,21129,2800,1160,5.0,6.3,9.0,21,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
marbella,Marbella,Andalucía,98823,4200,1680,4.8,9.1,13.0,14,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
getxo,Getxo,País Vasco,82196,3500,1400,4.8,4.9,7.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
malaga,Málaga,Andalucía,549135,3180,1340,5.1,11.0,6.4,18,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
manacor,Manacor,Islas Baleares,30018,3080,1215,4.7,7.0,10.0,20,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
vitoria,Vitoria,País Vasco,214234,2700,1150,5.1,7.0,5.0,27,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
bilbao,Bilbao,País Vasco,358875,3150,1270,4.8,7.5,5.4,28,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
cadiz,Cádiz,Andalucía,145595,2290,1030,5.4,9.0,9.0,23,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
madrid,Madrid,C. de Madrid,2866850,5960,1750,3.5,12.0,9.4,15,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
pamplona,Pamplona,Navarra,166279,2950,1170,4.8,7.5,10.0,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
santander,Santander,Cantabria,185410,2250,940,5.0,7.0,10.5,26,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
sitges,Sitges,Cataluña,16801,4800,1850,4.6,7.0,10.0,18,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
a-coruna,A Coruña,Galicia,251543,2100,880,5.0,7.5,8.0,26,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
barcelona,Barcelona,Cataluña,1508805,4900,1880,4.6,4.2,6.0,18,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
palma,Palma,Islas Baleares,434786,4200,1650,4.7,9.0,7.6,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
mahon-menorca,Mahón (Menorca),Islas Baleares,21884,3800,1500,4.7,7.0,10.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
pontevedra,Pontevedra,Galicia,74287,1700,760,5.4,7.5,7.5,28,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
ibiza,Ibiza,Islas Baleares,29447,6800,2200,3.9,6.3,9.0,18,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
san-sebastian,San Sebastián,País Vasco,189866,5200,1880,4.3,6.5,6.1,30,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
alhaurin-de-la-torre,Alhaurín de la Torre,Andalucía,16914,2100,1015,5.8,11.0,8.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
javea,Jávea,C. Valenciana,30642,3200,1385,5.2,12.0,9.0,17,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
roquetas-de-mar,Roquetas de Mar,Andalucía,37237,1600,853,6.4,10.0,8.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
mairena-del-aljarafe,Mairena del Aljarafe,Andalucía,30659,1800,884,5.9,9.0,8.0,21,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
boadilla-del-monte,Boadilla del Monte,C. de Madrid,17814,3320,1324,4.8,8.0,7.0,18,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
guardamar-del-segura,Guardamar del Segura,C. Valenciana,8227,1900,981,6.2,11.0,9.0,20,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
santa-lucia-de-tirajana,Santa Lucía de Tirajana,Canarias,78584,2070,978,5.7,10.0,8.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
cullera,Cullera,C. Valenciana,20595,2160,1042,5.8,10.0,8.0,21,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
vila-seca,Vila-seca,Cataluña,12124,2400,1120,5.6,9.0,8.0,21,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
vinaros,Vinaròs,C. Valenciana,20940,1700,878,6.2,9.0,8.0,23,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
pilar-de-la-horadada,Pilar de la Horadada,C. Valenciana,9528,1800,975,6.5,11.0,9.0,20,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
san-fernando-de-henares,San Fernando de Henares,C. de Madrid,29688,2200,1025,5.6,8.0,7.0,19,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
paracuellos-de-jarama,Paracuellos de Jarama,C. de Madrid,5293,2600,1190,5.5,9.0,8.0,18,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
tomares,Tomares,Andalucía,16980,2200,990,5.4,9.0,7.0,21,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
bormujos,Bormujos,Andalucía,6839,2000,965,5.8,9.0,8.0,21,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
utrera,Utrera,Andalucía,46173,1300,694,6.4,8.0,7.0,25,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
armilla,Armilla,Andalucía,12859,1870,916,5.9,9.0,7.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
la-oliva,La Oliva,Canarias,30022,2400,1155,5.8,11.0,9.0,19,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
teguise,Teguise,Canarias,8691,2680,1221,5.5,11.0,9.0,20,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
alhaurin-el-grande,Alhaurín el Grande,Andalucía,16859,1700,876,6.2,9.0,8.0,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
coin,Coín,Andalucía,17572,1550,779,6.0,9.0,7.0,25,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
moron-de-la-frontera,Morón de la Frontera,Andalucía,28303,1100,623,6.8,8.0,7.0,27,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
mairena-del-alcor,Mairena del Alcor,Andalucía,16071,1600,827,6.2,8.0,7.0,23,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
andratx,Andratx,Islas Baleares,12195,5000,1875,4.5,10.0,8.0,15,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
pollenca,Pollença,Islas Baleares,12945,4200,1715,4.9,9.0,8.0,16,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
alcudia,Alcúdia,Islas Baleares,10284,3800,1615,5.1,10.0,8.0,17,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
sueca,Sueca,C. Valenciana,24869,1400,758,6.5,8.0,7.0,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
benicarlo,Benicarló,C. Valenciana,19229,1700,850,6.0,9.0,8.0,23,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
lebrija,Lebrija,Andalucía,23833,1000,583,7.0,8.0,7.0,28,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
calafell,Calafell,Cataluña,9772,2200,1045,5.7,9.0,8.0,21,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
adeje,Adeje,Canarias,14029,3200,1400,5.2,7.8,6.2,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
alcantarilla,Alcantarilla,R. de Murcia,31872,1140,598,6.3,9.4,7.6,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
alcobendas,Alcobendas,C. de Madrid,83031,3200,1450,5.4,8.2,6.6,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
almendralejo,Almendralejo,Extremadura,27209,900,470,6.3,9.3,7.4,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
andujar,Andújar,Andalucía,37705,1000,520,6.2,9.3,7.4,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
basauri,Basauri,País Vasco,48490,2320,1027,5.3,7.9,6.4,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
calvia,Calvià,Islas Baleares,28748,4800,1880,4.7,7.1,5.6,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
castrillon,Castrillón,Asturias,22361,1300,640,5.9,8.9,7.1,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
castro-urdiales,Castro-Urdiales,Cantabria,15167,2400,1060,5.3,7.9,6.4,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
cerdanyola-del-valles,Cerdanyola del Vallès,Cataluña,50503,2800,1220,5.2,7.8,6.2,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
chiclana-de-la-frontera,Chiclana de la Frontera,Andalucía,53001,2070,950,5.5,8.2,6.6,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
cieza,Cieza,R. de Murcia,722,1040,495,5.7,9.1,7.3,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
collado-villalba,Collado Villalba,C. de Madrid,36950,2400,1000,5.0,7.5,6.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
coslada,Coslada,C. de Madrid,76001,2770,1268,5.5,8.2,6.6,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
durango,Durango,País Vasco,23909,2470,1109,5.4,8.1,6.5,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
ecija,Écija,Andalucía,37292,850,460,6.5,9.6,7.7,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
eibar,Eibar,País Vasco,30314,1850,842,5.5,8.1,6.5,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
